# Header
# Format: cartesian
# Units: mm

# Data
# PointID X Y Z
P1	7.219	9.685	-9.104
P2	5.343	11.666	-9.104
P3	5.91	11.655	-9.104
P4	6.25	11.649	-9.104
P5	6.402	11.646	-9.105
P6	6.69	11.641	-9.105
P7	7.048	11.634	-9.105
P8	7.284	11.63	-9.104
P9	7.827	11.619	-9.105
P10	8.127	11.614	-9.104
P11	8.611	11.605	-9.105
P12	9.241	11.593	-9.105
P13	9.233	11.163	-9.105
P14	8.788	11.172	-9.105
P15	8.306	11.181	-9.105
P16	7.51	11.196	-9.104
P17	6.753	11.21	-9.104
P18	6.3	11.219	-9.104
P19	5.748	11.229	-9.104
P20	5.272	11.238	-9.104
P21	5.263	10.752	-9.104
P22	5.808	10.741	-9.104
P23	6.333	10.732	-9.104
P24	6.732	10.724	-9.104
P25	7.248	10.715	-9.104
P26	7.766	10.705	-9.104
P27	8.313	10.695	-9.104
P28	8.78	10.686	-9.105
P29	9.233	10.677	-9.105
P30	9.223	10.124	-9.104
P31	8.735	10.134	-9.104
P32	8.275	10.142	-9.104
P33	7.8	10.151	-9.103
P34	7.219	10.162	-9.104
P35	6.725	10.171	-9.104
P36	6.187	10.181	-9.104
P37	5.734	10.19	-9.103
P38	5.245	10.199	-9.103
P39	5.237	9.757	-9.104
P40	5.721	9.748	-9.104
P41	6.186	9.738	-9.103
P42	6.703	9.729	-9.103
P43	7.233	9.719	-9.104
P44	7.72	9.699	-9.105
P45	8.265	9.689	-9.105
P46	8.722	9.68	-9.105
P47	9.2	9.672	-9.105
P48	9.198	9.559	-9.105
P49	8.694	9.569	-9.105
P50	8.211	9.578	-9.105
P51	7.728	9.587	-9.105
P52	7.199	9.597	-9.105
P53	6.697	9.606	-9.105
P54	6.197	9.615	-9.105
P55	5.701	9.625	-9.105
P56	5.22	9.634	-9.104
P57	5.213	9.24	-9.104
P58	5.683	9.232	-9.104
P59	6.102	9.224	-9.104
P60	6.652	9.214	-9.104
P61	7.199	9.204	-9.104
P62	7.719	9.193	-9.104
P63	8.202	9.184	-9.105
P64	8.697	9.175	-9.104
P65	9.134	9.167	-9.104
P66	9.123	8.597	-9.104
P67	8.683	8.606	-9.104
P68	8.175	8.616	-9.104
P69	7.683	8.625	-9.104
P70	7.172	8.634	-9.104
P71	6.657	8.644	-9.104
P72	6.168	8.653	-9.104
P73	5.679	8.662	-9.104
P74	5.209	8.671	-9.104
P75	5.201	8.249	-9.104
P76	5.68	8.24	-9.104
P77	6.155	8.231	-9.104
P78	6.659	8.221	-9.104
P79	7.157	8.212	-9.104
P80	7.677	8.202	-9.104
P81	8.175	8.193	-9.104
P82	8.666	8.184	-9.104
P83	9.145	8.174	-9.105
P84	9.136	7.685	-9.104
P85	8.652	7.694	-9.104
P86	8.196	7.703	-9.104
P87	7.716	7.712	-9.104
P88	7.155	7.723	-9.104
P89	6.621	7.733	-9.103
P90	6.099	7.743	-9.104
P91	5.619	7.751	-9.103
P92	5.185	7.788	-9.103
